image_path,root_mask_path,shoot_mask_path,seed_mask_path
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/test/030_43-19-ROOT1-2023-08-08_pvdCherry_OD001_Col0_04-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/030_43-19-ROOT1-2023-08-08_pvdCherry_OD001_Col0_04-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/030_43-19-ROOT1-2023-08-08_pvdCherry_OD001_Col0_04-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/030_43-19-ROOT1-2023-08-08_pvdCherry_OD001_Col0_04-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/test/030_43-2-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/030_43-2-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/030_43-2-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/030_43-2-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/test/031_43-18-ROOT1-2023-08-08_pvd_OD0001_col-0_05-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/031_43-18-ROOT1-2023-08-08_pvd_OD0001_col-0_05-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/031_43-18-ROOT1-2023-08-08_pvd_OD0001_col-0_05-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/031_43-18-ROOT1-2023-08-08_pvd_OD0001_col-0_05-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/test/031_43-6-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_02-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/031_43-6-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_02-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/031_43-6-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_02-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/031_43-6-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_02-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/test/032_43-17-ROOT1-2023-08-08_pvd_OD0001_col-0_04-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/032_43-17-ROOT1-2023-08-08_pvd_OD0001_col-0_04-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/032_43-17-ROOT1-2023-08-08_pvd_OD0001_col-0_04-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/032_43-17-ROOT1-2023-08-08_pvd_OD0001_col-0_04-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/test/032_43-6-ROOT1-2023-08-08_pvd_OD01_Col0_01-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/032_43-6-ROOT1-2023-08-08_pvd_OD01_Col0_01-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/032_43-6-ROOT1-2023-08-08_pvd_OD01_Col0_01-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/032_43-6-ROOT1-2023-08-08_pvd_OD01_Col0_01-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/test/033_43-13-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/033_43-13-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/033_43-13-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/033_43-13-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/test/033_43-14-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_03-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/033_43-14-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_03-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/033_43-14-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_03-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/033_43-14-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_03-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/test/033_43-14-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/033_43-14-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/033_43-14-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/033_43-14-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/test/034_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/034_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/034_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/034_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected_seed_mask.tif
