Plant ID,Length (px)
test_image_01_plant_1,620
test_image_01_plant_2,1152
test_image_01_plant_3,0
test_image_01_plant_4,1279
test_image_01_plant_5,1592
test_image_02_plant_1,1001
test_image_02_plant_2,1236
test_image_02_plant_3,931
test_image_02_plant_4,993
test_image_02_plant_5,989
test_image_03_plant_1,39
test_image_03_plant_2,132
test_image_03_plant_3,37
test_image_03_plant_4,131
test_image_03_plant_5,49
test_image_04_plant_1,219
test_image_04_plant_2,1145
test_image_04_plant_3,1003
test_image_04_plant_4,1094
test_image_04_plant_5,1105
test_image_05_plant_1,140
test_image_05_plant_2,30
test_image_05_plant_3,46
test_image_05_plant_4,106
test_image_05_plant_5,33
test_image_06_plant_1,249
test_image_06_plant_2,224
test_image_06_plant_3,79
test_image_06_plant_4,204
test_image_06_plant_5,200
test_image_07_plant_1,2091
test_image_07_plant_2,2151
test_image_07_plant_3,2182
test_image_07_plant_4,1830
test_image_07_plant_5,686
test_image_08_plant_1,429
test_image_08_plant_2,397
test_image_08_plant_3,0
test_image_08_plant_4,438
test_image_08_plant_5,363
test_image_09_plant_1,632
test_image_09_plant_2,688
test_image_09_plant_3,759
test_image_09_plant_4,812
test_image_09_plant_5,745
test_image_10_plant_1,357
test_image_10_plant_2,313
test_image_10_plant_3,250
test_image_10_plant_4,320
test_image_10_plant_5,106
test_image_11_plant_1,1445
test_image_11_plant_2,1416
test_image_11_plant_3,1445
test_image_11_plant_4,1551
test_image_11_plant_5,1638
test_image_12_plant_1,1441
test_image_12_plant_2,1171
test_image_12_plant_3,1123
test_image_12_plant_4,1337
test_image_12_plant_5,1518
test_image_13_plant_1,593
test_image_13_plant_2,525
test_image_13_plant_3,683
test_image_13_plant_4,439
test_image_13_plant_5,649
test_image_14_plant_1,1088
test_image_14_plant_2,143
test_image_14_plant_3,885
test_image_14_plant_4,1510
test_image_14_plant_5,1222
test_image_15_plant_1,568
test_image_15_plant_2,0
test_image_15_plant_3,237
test_image_15_plant_4,0
test_image_15_plant_5,0
test_image_16_plant_1,313
test_image_16_plant_2,497
test_image_16_plant_3,484
test_image_16_plant_4,466
test_image_16_plant_5,287
test_image_17_plant_1,1141
test_image_17_plant_2,1656
test_image_17_plant_3,1316
test_image_17_plant_4,1305
test_image_17_plant_5,1117
test_image_18_plant_1,401
test_image_18_plant_2,208
test_image_18_plant_3,70
test_image_18_plant_4,400
test_image_18_plant_5,490
test_image_19_plant_1,295
test_image_19_plant_2,287
test_image_19_plant_3,334
test_image_19_plant_4,335
test_image_19_plant_5,264
